riga,colonna,x,y
0,0,337.1673,0.15464892411993927
0,0,338.1316,0.14157584803360357
0,0,340.0601,0.15820362570745924
0,0,341.0243,0.18687038446037268
0,0,342.9528,0.1996673101754473
0,0,343.917,0.2318652683566253
0,0,345.8455,0.2534813793326382
0,0,346.8097,0.307407083746297
0,0,348.7382,0.35991090752494714
0,0,349.7024,0.41503522206068044
0,0,351.6309,0.39525227950666064
0,0,352.5951,0.3248809391533821
0,0,354.5236,0.29656083724949944
0,0,355.4878,0.2659786525171946
0,0,357.4163,0.26277060777870537
0,0,358.3805,0.26889879580479426
0,0,360.309,0.26449214094423057
0,0,361.2732,0.18931460902303243
0,0,363.2017,0.18624170170026658
0,0,364.1659,0.3676489934600966
0,0,366.0944,0.48798592439234045
0,0,367.0586,0.6846931218280442
0,0,368.9871,0.7534369376528227
0,0,369.9513,0.7974799840991923
0,0,371.8798,0.7811401078762262
0,0,372.844,0.808443741392272
0,0,374.7725,0.8633682875743249
0,0,375.7367,0.9888345647642653
0,0,377.6652,1.0276072519974022
0,0,378.6294,1.166716532635645
0,0,380.5579,1.299439101495979
0,0,381.5221,1.6013830925417316
0,0,383.4506,1.7478896778059057
0,0,384.4148,2.016536984725247
0,0,386.3433,2.091044705107641
0,0,387.3075,2.0923196972472975
0,0,389.236,2.0576305101849472
0,0,390.2002,1.9207891879149426
0,0,392.1287,1.8130729165033483
0,0,393.0929,1.4685665150443725
0,0,395.0214,1.2783635401828615
0,0,395.9856,0.9323001206731536
0,0,397.9141,0.7860285570015441
0,0,398.8783,0.5815597714714353
0,0,400.8068,0.5190557789292153
0,0,401.771,0.3981019163164906
0,0,403.6995,0.3202451382400699
0,0,404.6637,0.2919074097167444
0,0,406.5922,0.45207462504866197
0,0,407.5564,0.6462612159041238
0,0,409.4849,0.5875586976216151
0,0,410.4491,0.41521736379491636
0,0,412.3776,0.3969738126721875
0,0,413.3418,0.46417236152586083
0,0,415.2703,0.4757765526586753
0,0,416.2345,0.4131139205414748
0,0,418.163,0.39853083072291956
0,0,419.1272,0.43590513948030496
0,0,421.0557,0.4526856811893269
0,0,422.0199,0.4281494269257144
0,0,423.9484,0.4177320948353441
0,0,424.9126,0.4697776265084956
0,0,426.8411,0.5201486293346345
0,0,427.8053,0.6343808744000465
0,0,429.7338,0.6936180668056379
0,0,430.698,0.7847888181007713
0,0,432.6265,0.8150889769220008
0,0,433.5907,0.8558182189132274
0,0,435.5192,0.865630370402747
0,0,436.4834,0.8814120703433767
0,0,438.4119,0.8918940333717006
0,0,439.3761,0.8891795339775941
0,0,441.3046,0.8564704038325905
0,0,442.2688,0.7933377285302627
0,0,444.1973,0.8017985058625434
0,0,445.1615,0.8975521782126639
0,0,447.09,0.9522182006428968
0,0,448.0542,1.0995414859412271
0,0,449.9827,1.1397125516501174
0,0,450.9469,1.1064452452227758
