riga,colonna,x,y
0,0,354.5236,-0.4780093689991502
0,0,355.4878,-0.6087072616285193
0,0,357.4163,-0.6093286361726264
0,0,358.3805,-0.4166502179077242
0,0,360.309,-0.3399516753282276
0,0,361.2732,-0.30996242787934847
0,0,363.2017,-0.2564100870678387
0,0,364.1659,0.09499940957268997
0,0,366.0944,0.2953816040732049
0,0,367.0586,0.4955149317282482
0,0,368.9871,0.5669714191614129
0,0,369.9513,0.9077795052126862
0,0,371.8798,1.1755887634445283
0,0,372.844,1.7211191549702072
0,0,374.7725,1.9718184212911045
0,0,375.7367,2.6084451742333297
0,0,377.6652,3.093458123552586
0,0,378.6294,3.9633206648758437
0,0,380.5579,4.361956212007647
0,0,381.5221,4.972269655173915
0,0,383.4506,5.136537624576494
0,0,384.4148,5.188468368044583
0,0,386.3433,5.108597962039681
0,0,387.3075,4.790189477219982
0,0,389.236,4.472571976832702
0,0,390.2002,3.224780561004347
0,0,392.1287,2.6480260986372905
0,0,393.0929,1.9212921111038288
0,0,395.0214,1.681655530862839
0,0,395.9856,1.3397616244985213
0,0,397.9141,1.2177074956166423
0,0,398.8783,0.9970672228669236
0,0,400.8068,0.8974031843817559
0,0,401.771,0.7383978769343675
0,0,403.6995,0.6839689541767079
0,0,404.6637,0.5949839980988099
0,0,406.5922,0.5852258815337005
0,0,407.5564,0.5009091602323192
0,0,409.4849,0.37128599194199347
0,0,410.4491,0.12185642207474426
0,0,412.3776,0.07462878644432433
0,0,413.3418,0.10357184205873779
0,0,415.2703,0.1168394566867374
0,0,416.2345,0.14435588707233366
0,0,418.163,0.12574952381027213
0,0,419.1272,-0.03474264415337116
0,0,421.0557,-0.10576797373960506
0,0,422.0199,-0.19759191402285045
0,0,423.9484,-0.21414393695541534
0,0,424.9126,-0.11337030107005791
0,0,426.8411,-0.043860364504656524
0,0,427.8053,-0.05937412129847159
0,0,429.7338,-0.12118662218483255
0,0,430.698,-0.1756773653690759
0,0,432.6265,-0.15971818447604066
