nome,x,y
Nontronite,383.9706,62.86621
Nontronite,384.4528,68.87207
Nontronite,384.9349,68.73633
Nontronite,385.417,66.39746
Nontronite,385.8991,67.33594
Nontronite,386.3812,71.34082
Nontronite,386.8633,82.22266
Nontronite,387.3455,112.8203
Nontronite,387.8276,153.4072
Nontronite,388.3097,182.1885
Nontronite,388.7918,172.2568
Nontronite,389.2739,155.9121
Nontronite,389.756,160.1445
Nontronite,390.2382,188.2822
Nontronite,390.7203,221.7568
Nontronite,391.2024,259.3672
Nontronite,391.6845,293.7129
Nontronite,392.1666,316.7373
Nontronite,392.6487,301.5254
Nontronite,393.1309,296.9307
Nontronite,393.613,330.833
Nontronite,394.0951,399.5703
Nontronite,394.5772,457.5244
Nontronite,395.0593,490.4639
Nontronite,395.5414,510.709
Nontronite,396.0236,525.5098
Nontronite,396.5057,521.6777
Nontronite,396.9878,529.3896
Nontronite,397.4699,561.6592
Nontronite,397.952,608.8535
Nontronite,398.4341,640.1221
Nontronite,398.9163,640.9883
Nontronite,399.3984,640.9385
Nontronite,399.8805,652.1553
Nontronite,400.3626,682.668
Nontronite,400.8447,698.6553
Nontronite,401.3268,685.6865
Nontronite,401.809,668.874
Nontronite,402.2911,689.5771
Nontronite,402.7732,768.1758
Nontronite,403.2553,829.7324
Nontronite,403.7374,847.4961
Nontronite,404.2195,824.7178
Nontronite,404.7017,821.0225
Nontronite,405.1838,838.5703
Nontronite,405.6659,873.4824
Nontronite,406.148,928.6357
Nontronite,406.6301,1003.74
Nontronite,407.1122,1059.409
Nontronite,407.5944,1083.081
Nontronite,408.0765,1090.595
Nontronite,408.5586,1121.595
Nontronite,409.0407,1175.936
Nontronite,409.5228,1228.392
Nontronite,410.0049,1256.588
Nontronite,410.4871,1269.105
Nontronite,410.9692,1289.714
Nontronite,411.4513,1320.82
Nontronite,411.9334,1363.14
Nontronite,412.4155,1428.301
Nontronite,412.8976,1507.125
Nontronite,413.3798,1571.55
Nontronite,413.8619,1602.703
Nontronite,414.344,1617.051
Nontronite,414.8261,1625.422
Nontronite,415.3082,1630.034
Nontronite,415.7903,1652.562
Nontronite,416.2725,1732.02
Nontronite,416.7546,1826.44
Nontronite,417.2367,1889.932
Nontronite,417.7188,1874.144
Nontronite,418.2009,1860.512
Nontronite,418.683,1894.035
Nontronite,419.1652,1962.187
Nontronite,419.6473,2018.377
Nontronite,420.1294,2041.084
Nontronite,420.6115,2053.211
Nontronite,421.0937,2068.395
Nontronite,421.5758,2093.462
Nontronite,422.0579,2112.726
Nontronite,422.54,2121.025
Nontronite,423.0221,2122.469
Nontronite,423.5042,2119.148
Nontronite,423.9864,2098.646
Nontronite,424.4685,2087.665
Nontronite,424.9506,2098.876
Nontronite,425.4327,2135.563
Nontronite,425.9148,2148.28
Nontronite,426.3969,2128.191
Nontronite,426.8791,2094.309
Nontronite,427.3612,2063.737
Nontronite,427.8433,2040.653
Nontronite,428.3254,2007.094
Nontronite,428.8075,1957.131
Nontronite,429.2896,1896.344
Nontronite,429.7718,1844.047
Nontronite,430.2539,1800.481
